id,value
root.tensorflowthon.platform.gfile,3
root.tensorflowthon.platform.resource_loader,5
root.tensorflowthon.platform.sysconfig,3
root.tensorflowthon.platform.test,7
root.tensorflowthon.platform.tf_logging,9
root.tensorflowthon.wrap_root,
root.tensorflowthon.wrap_root.tensorflow,4
root.tensorflowthon.saved_model,
root.tensorflowthon.saved_model.builder,1
root.tensorflowthon.saved_model.builder_impl,1
root.tensorflowthon.saved_model.constants,1
root.tensorflowthon.saved_model.loader,1
root.tensorflowthon.saved_model.loader_impl,2
root.tensorflowthon.saved_model.main_op,1
root.tensorflowthon.saved_model.main_op_impl,2
root.tensorflowthon.saved_model.saved_model,1
root.tensorflowthon.saved_model.signature_constants,1
root.tensorflowthon.saved_model.signature_def_utils,1
root.tensorflowthon.saved_model.signature_def_utils_impl,4
root.tensorflowthon.saved_model.tag_constants,1
root.tensorflowthon.saved_model.utils,1
root.tensorflowthon.saved_model.utils_impl,1
root.tensorflowthon.summary,
root.tensorflowthon.summary.summary,8
root.tensorflowthon.summary.summary_iterator,1
root.tensorflowthon.summary.writer,
root.tensorflowthon.summary.writer.writer,1
root.tensorflowthon.summary.writer.writer_cache,3
root.tensorflowthon.training,
root.tensorflowthon.training.adadelta,1
root.tensorflowthon.training.adagrad,1
root.tensorflowthon.training.adagrad_da,1
root.tensorflowthon.training.adam,1
root.tensorflowthon.training.basic_loops,1
root.tensorflowthon.training.basic_session_run_hooks,8
root.tensorflowthon.training.coordinator,3
root.tensorflowthon.training.device_setter,1
root.tensorflowthon.training.ftrl,1
root.tensorflowthon.training.gradient_descent,1
root.tensorflowthon.training.input,14
root.tensorflowthon.training.learning_rate_decay,5
root.tensorflowthon.training.momentum,1
root.tensorflowthon.training.monitored_session,8
root.tensorflowthon.training.moving_averages,1
root.tensorflowthon.training.optimizer,1
root.tensorflowthon.training.proximal_adagrad,1
root.tensorflowthon.training.proximal_gradient_descent,1
root.tensorflowthon.training.queue_runner,1
root.tensorflowthon.training.queue_runner_impl,4
root.tensorflowthon.training.rmsprop,1
root.tensorflowthon.training.saver,10
root.tensorflowthon.training.server_lib,3
root.tensorflowthon.training.session_manager,1
root.tensorflowthon.training.session_run_hook,4
root.tensorflowthon.training.supervisor,1
root.tensorflowthon.training.sync_replicas_optimizer,1
root.tensorflowthon.training.training,1
root.tensorflowthon.training.training_util,3
root.tensorflowthon.user_ops,
root.tensorflowthon.user_ops.user_ops,1
root.tensorflowthon.util,
root.tensorflowthon.util.compat,4
root.tensorflowthon.util.deprecation,38
root.tensorflow.tools,
root.tensorflow.tools.__init__,1
